uid,Sid,score,type
0,0,9.5,2
0,1,9.2,2
0,2,8.7,2
0,3,8.9,2
0,4,9.2,2
0,5,8.4,2
0,6,8.9,2
0,7,8.7,2
0,8,8.3,2
0,9,8.5,2
0,10,8.7,2
0,11,8.6,2
0,12,9.4,2
0,13,8.9,2
0,14,8.8,2
0,15,8.2,2
0,16,8.6,2
0,17,8.7,2
0,18,9.3,2
0,19,8.7,2
0,20,9.1,2
0,21,8.3,2
0,22,9.4,2
0,23,8.5,2
0,24,8.7,2
0,25,8.2,2
0,26,8.4,2
0,27,7.1,2
0,28,8.4,2
0,29,8.2,2
0,30,8.4,2
0,31,8.7,2
0,32,8.1,2
0,33,8.8,2
0,34,8.4,2
0,35,8.9,2
0,36,8.4,2
0,37,8.2,2
0,38,7.9,2
0,39,8.5,2
0,40,8.6,2
0,41,8.7,2
0,42,7.9,2
0,43,8.6,2
0,44,8.3,2
0,45,8.7,2
0,46,7.9,2
0,47,8.2,2
0,48,8.7,2
0,49,8.9,2
0,50,6.9,2
0,51,8.3,2
0,52,7.5,2
0,53,8.7,2
0,54,9,2
0,55,7.2,2
0,56,7.8,2
0,57,8.3,2
0,58,8.1,2
0,59,8.8,2
0,60,7.4,2
0,61,8.6,2
0,62,8.1,2
0,63,8.7,2
0,64,7.5,2
0,65,8,2
0,66,5.4,2
0,67,7.7,2
0,68,7.5,2
0,69,7.4,2
0,70,8.5,2
0,71,8.7,2
0,72,8.2,2
0,73,7.5,2
0,74,8.5,2
0,75,8.4,2
0,76,8.3,2
0,77,7.3,2
0,78,6.5,2
0,79,7.8,2
0,80,7.9,2
0,81,8.2,2
0,82,7.7,2
0,83,7.5,2
0,84,8.5,2
0,85,7.2,2
0,86,7.9,2
0,87,8.8,2
0,88,8.5,2
0,89,8.6,2
0,90,8.7,2
0,91,8.5,2
0,92,7.3,2
0,93,8.6,2
0,94,8.2,2
0,95,7.9,2
0,96,7.9,2
0,97,7.6,2
0,98,8,2
0,99,8.1,2
